file,line,type,commit,author,date,time,timezone,datetime,depth,length
styles.css,1,css,bebcbb6b,nathaphat t.,2025-01-17,14:44:15,-08:00,2025-01-17T14:44:15-08:00,0,6
styles.css,2,css,f870a1fa,nathaphat t.,2025-01-23,21:27:20,-08:00,2025-01-23T21:27:20-08:00,0,24
styles.css,3,css,f870a1fa,nathaphat t.,2025-01-23,21:27:20,-08:00,2025-01-23T21:27:20-08:00,0,34
styles.css,4,css,bebcbb6b,nathaphat t.,2025-01-17,14:44:15,-08:00,2025-01-17T14:44:15-08:00,0,0
styles.css,5,css,bebcbb6b,nathaphat t.,2025-01-17,14:44:15,-08:00,2025-01-17T14:44:15-08:00,0,5
styles.css,6,css,bebcbb6b,nathaphat t.,2025-01-17,14:44:15,-08:00,2025-01-17T14:44:15-08:00,0,33
styles.css,7,css,bebcbb6b,nathaphat t.,2025-01-17,14:44:15,-08:00,2025-01-17T14:44:15-08:00,0,0
styles.css,8,css,bebcbb6b,nathaphat t.,2025-01-17,14:44:15,-08:00,2025-01-17T14:44:15-08:00,0,0
styles.css,9,css,bebcbb6b,nathaphat t.,2025-01-17,14:44:15,-08:00,2025-01-17T14:44:15-08:00,0,0
styles.css,10,css,88268b4b,nathaphat t.,2025-01-08,19:38:12,-08:00,2025-01-08T19:38:12-08:00,0,5
styles.css,11,css,88268b4b,nathaphat t.,2025-01-08,19:38:12,-08:00,2025-01-08T19:38:12-08:00,0,24
styles.css,12,css,bebcbb6b,nathaphat t.,2025-01-17,14:44:15,-08:00,2025-01-17T14:44:15-08:00,0,16
styles.css,13,css,bebcbb6b,nathaphat t.,2025-01-17,14:44:15,-08:00,2025-01-17T14:44:15-08:00,0,19
styles.css,14,css,bebcbb6b,nathaphat t.,2025-01-17,14:44:15,-08:00,2025-01-17T14:44:15-08:00,0,13
styles.css,15,css,1ae85d5d,nathaphat t.,2025-02-05,16:09:05,-08:00,2025-02-05T16:09:05-08:00,0,0
